;P7 VLU heel;P8 VLU heel;P9 VLU heel;P10 VLU heel;P11 VLU heel;P12 VLU heel 
P4022287114;0;1;0;0;0;0
P40227190208;0;1;0;0;0;0
P407632331;0;0;0;0;0;1
P40925211230;0;1;0;0;0;0
P40925224230;0;1;0;0;0;0
P4092694104;1;0;0;0;0;0
P41091323349;0;0;0;0;0;1
P41250322331;0;1;0;0;0;0
P41250669687;0;1;0;0;0;0
P42025103121;0;1;0;0;0;0
P42025295313;0;0;0;0;0;1
P42224635649;0;1;0;0;0;0
P422292331;0;1;0;0;0;0
P42566847861;0;0;0;0;0;1
P43243489496;0;0;1;0;0;0
P43487108118;0;0;0;0;1;0
P436862743;0;0;1;0;0;0
P43897314325;0;1;0;0;0;0
P46777143152;0;1;0;0;0;0
P4677796107;0;0;0;0;0;1
P46783108116;0;1;0;0;0;0
P4682114851495;0;1;0;0;0;0
P46821810827;0;1;0;0;0;0
P469267079;0;1;0;0;0;0
P469377087;0;0;0;0;0;1
P46940439465;0;0;0;0;0;1
P46940458465;0;0;0;0;0;1
P46952215223;0;0;0;0;0;1
P477557193;0;0;1;0;0;0
P4792999111;0;0;1;0;0;0
P48426278285;0;1;0;0;0;0
P4863412241241;0;1;0;0;0;0
P48643113126;0;1;0;0;0;0
P48681952983;0;1;0;0;0;0
P49023221247;0;0;1;0;0;0
P4902389110;0;0;0;0;0;1
P49189305314;0;1;0;0;0;0
P49189403411;0;1;0;0;0;0
P492576781;0;1;0;0;0;0
P49321608617;0;0;0;0;0;1
P49411358366;0;1;0;0;0;0
P497462237;0;0;1;0;0;0
P49747353367;0;0;0;0;0;1
P49747538558;0;0;0;1;0;0
P49747615628;0;0;0;1;0;0
P497478090;0;0;1;0;0;0
P49790267274;0;0;0;0;0;1
P498627788;0;0;1;0;0;0
P50454103116;0;1;0;0;0;0
P50454155164;0;1;0;0;0;0
P50502138146;1;0;0;0;0;0
P5085112791296;0;1;0;0;0;0
P50895113121;0;1;0;0;0;0
P50991404413;0;0;0;0;0;1
P50995380386;0;1;0;0;0;0
P50995483494;0;1;0;0;0;0
P51116520544;0;1;0;0;0;0
P514522436;0;1;0;0;0;0
P51553304311;0;1;0;0;0;0
P515716879;0;1;0;0;0;0
P51665273283;0;0;0;1;0;0
P51888347353;1;0;0;0;0;0
P51911168185;1;0;0;0;0;0
P51911243256;0;0;0;0;0;1
P51911247256;0;0;0;0;0;1
P52209441447;0;0;0;0;0;1
P52272101112;0;1;0;0;0;0
P52272389403;0;0;0;0;0;1
P524346684;0;0;0;0;0;1
P52434724;0;0;0;0;0;1
P52597247262;0;1;0;0;0;0
P52597267275;0;0;0;0;0;1
P52597336349;0;1;0;0;0;0
P52888619626;0;1;0;0;0;0
P52895285301Q04828285301;0;1;0;0;0;0
