;One;Two;Three;Four;Five;Six
P16401;1;1;1;1;1;1
Q9UMD9;1;1;1;1;1;1
P49207;1;1;1;1;0;1
P23588;1;1;1;1;1;1
P26447;1;1;1;1;1;1
P61254;1;1;1;1;1;1
P20962;1;1;1;1;1;1
P0DP25;1;1;1;1;1;1
P22314;1;1;1;1;1;1
Q00577;1;1;1;1;1;1
O00151;1;1;1;1;1;1
P14174;1;1;1;1;1;1
P25311;1;1;1;1;1;1
P51991;1;1;1;1;1;1
O15061;1;1;0;1;0;1
P20908;1;1;1;1;1;1
P62081;1;1;1;1;1;1
P11940;1;1;1;1;1;1
Q9UMS6;1;1;1;1;1;1
P11021;1;1;1;1;1;1
P05388;1;1;1;1;1;1
P39060;1;1;1;1;1;1
Q93077;1;1;0;0;1;1
P02765;1;1;1;1;1;1
P78371;1;1;1;1;1;1
P19338;1;1;1;1;1;1
P16157;1;1;1;1;1;1
